alpha        CL        CD        
   -180.00   -0.0425    0.0060
   -179.00    0.0607    0.0065
   -178.00    0.1639    0.0079
   -177.00    0.2671    0.0103
   -176.00    0.3688    0.0137
   -175.00    0.4603    0.0180
   -174.00    0.5233    0.0233
   -173.00    0.5409    0.0295
   -172.00    0.5177    0.0366
   -171.00    0.4772    0.0447
   -170.00    0.4402    0.0537
   -169.00    0.4151    0.0636
   -168.00    0.4021    0.0743
   -167.00    0.3986    0.0860
   -166.00    0.4018    0.0984
   -165.00    0.4094    0.1118
   -164.00    0.4201    0.1259
   -163.00    0.4325    0.1409
   -162.00    0.4460    0.1566
   -161.00    0.4601    0.1732
   -160.00    0.4743    0.1904
   -159.00    0.4884    0.2084
   -158.00    0.5022    0.2271
   -157.00    0.5155    0.2465
   -156.00    0.5283    0.2665
   -155.00    0.5404    0.2872
   -154.00    0.5518    0.3085
   -153.00    0.5625    0.3303
   -152.00    0.5723    0.3527
   -151.00    0.5814    0.3756
   -150.00    0.5895    0.3990
   -149.00    0.5969    0.4229
   -148.00    0.6033    0.4473
   -147.00    0.6089    0.4720
   -146.00    0.6136    0.4971
   -145.00    0.6174    0.5225
   -144.00    0.6203    0.5483
   -143.00    0.6223    0.5744
   -142.00    0.6235    0.6007
   -141.00    0.6238    0.6272
   -140.00    0.6233    0.6539
   -139.00    0.6219    0.6808
   -138.00    0.6197    0.7078
   -137.00    0.6167    0.7349
   -136.00    0.6128    0.7620
   -135.00    0.6082    0.7892
   -134.00    0.6028    0.8163
   -133.00    0.5967    0.8434
   -132.00    0.5898    0.8705
   -131.00    0.5822    0.8974
   -130.00    0.5739    0.9242
   -129.00    0.5650    0.9508
   -128.00    0.5553    0.9772
   -127.00    0.5451    1.0034
   -126.00    0.5342    1.0293
   -125.00    0.5227    1.0549
   -124.00    0.5107    1.0802
   -123.00    0.4981    1.1051
   -122.00    0.4850    1.1296
   -121.00    0.4713    1.1537
   -120.00    0.4572    1.1774
   -119.00    0.4426    1.2006
   -118.00    0.4276    1.2232
   -117.00    0.4122    1.2454
   -116.00    0.3964    1.2670
   -115.00    0.3802    1.2879
   -114.00    0.3636    1.3083
   -113.00    0.3467    1.3281
   -112.00    0.3295    1.3472
   -111.00    0.3121    1.3656
   -110.00    0.2943    1.3833
   -109.00    0.2764    1.4003
   -108.00    0.2582    1.4165
   -107.00    0.2393    1.4320
   -106.00    0.2207    1.4467
