alpha        CL        CD     
   -180.00   -0.0664    0.0060
   -179.00    0.0280    0.0065
   -178.00    0.1224    0.0080
   -177.00    0.2168    0.0105
   -176.00    0.3099    0.0141
   -175.00    0.3945    0.0186
   -174.00    0.4557    0.0241
   -173.00    0.4793    0.0306
   -172.00    0.4676    0.0381
   -171.00    0.4391    0.0466
   -170.00    0.4117    0.0560
   -169.00    0.3934    0.0663
   -168.00    0.3851    0.0776
   -167.00    0.3849    0.0898
   -166.00    0.3906    0.1029
   -165.00    0.4001    0.1168
   -164.00    0.4122    0.1316
   -163.00    0.4258    0.1473
   -162.00    0.4403    0.1638
   -161.00    0.4552    0.1811
   -160.00    0.4701    0.1992
   -159.00    0.4847    0.2181
   -158.00    0.4990    0.2377
   -157.00    0.5127    0.2580
   -156.00    0.5258    0.2789
   -155.00    0.5381    0.3006
   -154.00    0.5497    0.3229
   -153.00    0.5604    0.3457
   -152.00    0.5703    0.3692
   -151.00    0.5794    0.3932
   -150.00    0.5875    0.4177
   -149.00    0.5947    0.4428
   -148.00    0.6011    0.4682
   -147.00    0.6065    0.4941
   -146.00    0.6110    0.5204
   -145.00    0.6145    0.5471
   -144.00    0.6172    0.5741
   -143.00    0.6190    0.6014
   -142.00    0.6199    0.6289
   -141.00    0.6199    0.6567
   -140.00    0.6190    0.6847
   -139.00    0.6173    0.7128
   -138.00    0.6147    0.7411
   -137.00    0.6113    0.7695
   -136.00    0.6072    0.7979
   -135.00    0.6022    0.8263
   -134.00    0.5965    0.8548
   -133.00    0.5900    0.8832
   -132.00    0.5828    0.9115
   -131.00    0.5749    0.9397
   -130.00    0.5663    0.9677
   -129.00    0.5571    0.9956
   -128.00    0.5472    1.0233
   -127.00    0.5368    1.0507
   -126.00    0.5257    1.0778
   -125.00    0.5140    1.1046
   -124.00    0.5018    1.1311
   -123.00    0.4891    1.1572
   -122.00    0.4759    1.1829
   -121.00    0.4622    1.2081
   -120.00    0.4481    1.2329
   -119.00    0.4336    1.2572
   -118.00    0.4186    1.2809
   -117.00    0.4033    1.3041
   -116.00    0.3876    1.3267
   -115.00    0.3715    1.3487
   -114.00    0.3552    1.3700
   -113.00    0.3385    1.3907
   -112.00    0.3216    1.4107
   -111.00    0.3044    1.4300
   -110.00    0.2870    1.4485
   -109.00    0.2694    1.4663
   -108.00    0.2516    1.4833
   -107.00    0.2331    1.4995
   -106.00    0.2150    1.5149
   -105.00    0.1968    1.5294
   -104.00    0.1784    1.5431
   -103.00    0.1599    1.5559
   -102.00    0.1414    1.5679
   -101.00    0.1228    1.5789
   -100.00    0.1041    1.5890
    -99.00    0.0854    1.5982
    -98.00    0.0667    1.6065
    -97.00    0.0480    1.6138
    -96.00    0.0293    1.6201
    -95.00    0.0107    1.6255
    -94.00   -0.0079    1.6299
    -93.00   -0.0265    1.6333
    -92.00   -0.0449    1.6358
    -91.00   -0.0633    1.6373
    -90.00   -0.0816    1.6378
    -89.00   -0.0998    1.6373
    -88.00   -0.1178    1.6358
    -87.00   -0.1357    1.6333
    -86.00   -0.1534    1.6299
    -85.00   -0.1710    1.6255
    -84.00   -0.1884    1.6201
    -83.00   -0.2056    1.6137
    -82.00   -0.2226    1.6064
    -81.00   -0.2393    1.5982
    -80.00   -0.2559    1.5890
    -79.00   -0.2722    1.5789
    -78.00   -0.2882    1.5678
    -77.00   -0.3040    1.5559
    -76.00   -0.3195    1.5431
    -75.00   -0.3347    1.5294
    -74.00   -0.3496    1.5148
    -73.00   -0.3642    1.4995
    -72.00   -0.3784    1.4832
    -71.00   -0.3923    1.4662
    -70.00   -0.4059    1.4485
    -69.00   -0.4191    1.4299
    -68.00   -0.4319    1.4106
    -67.00   -0.4443    1.3906
    -66.00   -0.4563    1.3699
    -65.00   -0.4679    1.3486
    -64.00   -0.4791    1.3266
    -63.00   -0.4899    1.3040
    -62.00   -0.5001    1.2808
    -61.00   -0.5100    1.2570
    -60.00   -0.5193    1.2328
    -59.00   -0.5282    1.2080
    -58.00   -0.5366    1.1827
    -57.00   -0.5444    1.1570
    -56.00   -0.5517    1.1309
    -55.00   -0.5585    1.1045
    -54.00   -0.5648    1.0776
    -53.00   -0.5705    1.0505
    -52.00   -0.5756    1.0231
    -51.00   -0.5802    0.9954
    -50.00   -0.5842    0.9675
    -49.00   -0.5875    0.9394
    -48.00   -0.5903    0.9112
    -47.00   -0.5925    0.8829
    -46.00   -0.5940    0.8545
    -45.00   -0.5949    0.8260
    -44.00   -0.5952    0.7975
    -43.00   -0.5948    0.7691
    -42.00   -0.5938    0.7407
    -41.00   -0.5921    0.7124
    -40.00   -0.5898    0.6842
    -39.00   -0.5868    0.6562
    -38.00   -0.5831    0.6284
    -37.00   -0.5788    0.6008
    -36.00   -0.5739    0.5734
    -35.00   -0.5683    0.5463
    -34.00   -0.5621    0.5196
    -33.00   -0.5553    0.4932
    -32.00   -0.5478    0.4672
    -31.00   -0.5398    0.4416
    -30.00   -0.5312    0.4165
    -29.00   -0.5222    0.3918
    -28.00   -0.5127    0.3676
    -27.00   -0.5028    0.3439
    -26.00   -0.4927    0.3208
    -25.00   -0.4825    0.2982
    -24.00   -0.4724    0.2761
    -23.00   -0.4627    0.2546
    -22.00   -0.4538    0.2337
    -21.00   -0.4462    0.2133
    -20.00   -1.3147    0.0845
    -19.50   -1.3258    0.0762
    -19.00   -1.3248    0.0701
    -18.50   -1.3324    0.0626
    -18.00   -1.3286    0.0571
    -17.50   -1.3394    0.0499
    -17.00   -1.3367    0.0445
    -16.50   -1.3352    0.0406
    -16.00   -1.3173    0.0373
    -15.50   -1.2966    0.0341
    -15.00   -1.2724    0.0312
    -14.50   -1.2430    0.0290
    -14.00   -1.2117    0.0268
    -13.50   -1.1766    0.0249
    -13.00   -1.1368    0.0235
    -12.50   -1.0926    0.0225
    -12.00   -1.0690    0.0197
    -11.50   -1.0361    0.0177
    -11.00   -0.9894    0.0166
    -10.50   -0.9396    0.0158
    -10.00   -0.8882    0.0151
     -9.50   -0.8353    0.0144
     -9.00   -0.7809    0.0139
     -8.50   -0.7250    0.0134
     -8.00   -0.6677    0.0132
     -7.50   -0.6143    0.0121
     -7.00   -0.5575    0.0116
     -6.50   -0.4997    0.0111
     -6.00   -0.4413    0.0107
     -5.50   -0.3825    0.0104
     -5.00   -0.3231    0.0100
     -4.00   -0.2043    0.0096
     -3.50   -0.1446    0.0094
     -3.00   -0.0847    0.0093
     -2.50   -0.0246    0.0091
     -2.00    0.0352    0.0085
     -1.50    0.0955    0.0079
     -1.00    0.1562    0.0076
     -0.50    0.2137    0.0079
      0.00    0.2665    0.0087
      0.50    0.3191    0.0098
      1.00    0.3761    0.0102
      1.50    0.4347    0.0102
      2.00    0.4925    0.0104
      2.50    0.5494    0.0107
      3.00    0.6056    0.0111
      3.50    0.6624    0.0115
      4.00    0.7183    0.0118
      4.50    0.7736    0.0122
      5.00    0.8281    0.0126
      5.50    0.8817    0.0130
      6.00    0.9342    0.0135
      6.50    0.9852    0.0140
      7.00    1.0343    0.0146
      8.50    1.1592    0.0171
      9.00    1.1961    0.0183
      9.50    1.2316    0.0197
     10.00    1.2633    0.0214
     10.50    1.2935    0.0233
     11.00    1.3200    0.0256
     11.50    1.3438    0.0281
     12.00    1.3651    0.0310
     12.50    1.3816    0.0342
     13.00    1.3936    0.0380
     13.50    1.4010    0.0425
     14.00    1.4047    0.0475
     14.50    1.4198    0.0512
     15.00    1.4336    0.0551
     15.50    1.4343    0.0610
     16.00    1.4355    0.0665
     16.50    1.4226    0.0730
     17.00    1.4153    0.0799
     17.50    1.4014    0.0880
     18.50    1.4184    0.0993
     19.00    1.4389    0.1032
     19.50    1.4328    0.1111
     20.00    1.4512    0.1152
     21.00    1.4242    0.1454
     22.00    1.3971    0.1669
     23.00    1.3711    0.1897
     24.00    1.3466    0.2134
     25.00    1.3244    0.2380
     26.00    1.3044    0.2635
     27.00    1.2869    0.2896
     28.00    1.2719    0.3164
     29.00    1.2590    0.3437
     30.00    1.2483    0.3715
     31.00    1.2396    0.3998
     32.00    1.2324    0.4285
     33.00    1.2268    0.4575
     34.00    1.2224    0.4869
     35.00    1.2191    0.5166
     36.00    1.2165    0.5465
     37.00    1.2147    0.5766
     38.00    1.2133    0.6070
     39.00    1.2122    0.6375
     40.00    1.2112    0.6681
     41.00    1.2103    0.6989
     42.00    1.2094    0.7297
     43.00    1.2082    0.7605
     44.00    1.2067    0.7913
     45.00    1.2047    0.8222
     46.00    1.2024    0.8529
     47.00    1.1994    0.8836
     48.00    1.1958    0.9142
     49.00    1.1915    0.9446
     50.00    1.1865    0.9748
     51.00    1.1806    1.0048
     52.00    1.1740    1.0345
     53.00    1.1664    1.0640
     54.00    1.1579    1.0931
     55.00    1.1484    1.1219
     56.00    1.1380    1.1503
     57.00    1.1266    1.1783
     58.00    1.1141    1.2058
     59.00    1.1006    1.2329
     60.00    1.0861    1.2594
     61.00    1.0705    1.2854
     62.00    1.0538    1.3109
     63.00    1.0361    1.3357
     64.00    1.0173    1.3599
     65.00    0.9974    1.3835
     66.00    0.9765    1.4064
     67.00    0.9545    1.4286
     68.00    0.9314    1.4500
     69.00    0.9074    1.4707
     70.00    0.8823    1.4905
     71.00    0.8562    1.5096
     72.00    0.8292    1.5279
     73.00    0.8012    1.5453
     74.00    0.7722    1.5618
     75.00    0.7424    1.5774
     76.00    0.7116    1.5921
     77.00    0.6801    1.6059
     78.00    0.6477    1.6188
     79.00    0.6145    1.6307
     80.00    0.5806    1.6416
     81.00    0.5460    1.6515
     82.00    0.5107    1.6604
     83.00    0.4748    1.6684
     84.00    0.4383    1.6753
     85.00    0.4012    1.6812
     86.00    0.3637    1.6860
     87.00    0.3257    1.6898
     88.00    0.2873    1.6926
     89.00    0.2485    1.6943
     90.00    0.2094    1.6950
     91.00    0.1701    1.6946
     92.00    0.1306    1.6932
     93.00    0.0909    1.6907
     94.00    0.0511    1.6872
     95.00    0.0113    1.6827
     96.00   -0.0286    1.6772
     97.00   -0.0683    1.6706
     98.00   -0.1080    1.6630
     99.00   -0.1475    1.6544
    100.00   -0.1867    1.6448
    101.00   -0.2257    1.6342
    102.00   -0.2643    1.6227
    103.00   -0.3026    1.6102
    104.00   -0.3404    1.5967
    105.00   -0.3777    1.5824
    106.00   -0.4145    1.5671
    107.00   -0.4507    1.5510
    108.00   -0.4862    1.5340
    109.00   -0.5353    1.5162
    110.00   -0.5690    1.4975
    111.00   -0.6020    1.4781
    112.00   -0.6341    1.4578
    113.00   -0.6653    1.4369
    114.00   -0.6956    1.4152
    115.00   -0.7249    1.3928
    116.00   -0.7531    1.3698
    117.00   -0.7804    1.3461
    118.00   -0.8065    1.3218
    119.00   -0.8314    1.2969
    120.00   -0.8552    1.2715
    121.00   -0.8778    1.2456
    122.00   -0.8992    1.2192
    123.00   -0.9192    1.1923
    124.00   -0.9380    1.1650
    125.00   -0.9554    1.1374
    126.00   -0.9715    1.1094
    127.00   -0.9862    1.0811
    128.00   -0.9995    1.0525
    129.00   -1.0114    1.0236
    130.00   -1.0219    0.9946
    131.00   -1.0309    0.9654
    132.00   -1.0386    0.9360
    133.00   -1.0447    0.9065
    134.00   -1.0494    0.8770
    135.00   -1.0526    0.8475
    136.00   -1.0544    0.8179
    137.00   -1.0548    0.7884
    138.00   -1.0536    0.7590
    139.00   -1.0511    0.7297
    140.00   -1.0471    0.7006
    141.00   -1.0418    0.6716
    142.00   -1.0350    0.6429
    143.00   -1.0269    0.6144
    144.00   -1.0174    0.5863
    145.00   -1.0066    0.5584
    146.00   -0.9945    0.5309
    147.00   -0.9812    0.5038
    148.00   -0.9666    0.4772
    149.00   -0.9509    0.4509
    150.00   -0.9341    0.4252
    151.00   -0.9161    0.4000
    152.00   -0.8971    0.3754
    153.00   -0.8772    0.3513
    154.00   -0.8564    0.3279
    155.00   -0.8347    0.3051
    156.00   -0.8123    0.2830
    157.00   -0.7892    0.2615
    158.00   -0.7657    0.2408
    159.00   -0.7417    0.2208
    160.00   -0.7176    0.2016
    161.00   -0.6935    0.1832
    162.00   -0.6697    0.1656
    163.00   -0.6465    0.1488
    164.00   -0.6245    0.1329
    165.00   -0.6043    0.1179
    166.00   -0.5867    0.1037
    167.00   -0.5729    0.0904
    168.00   -0.5642    0.0781
    169.00   -0.5622    0.0667
    170.00   -0.5678    0.0563
    171.00   -0.5799    0.0468
    172.00   -0.5929    0.0383
    173.00   -0.5947    0.0307
    174.00   -0.5715    0.0242
    175.00   -0.5175    0.0187
    176.00   -0.4394    0.0141
    177.00   -0.3491    0.0106
    178.00   -0.2552    0.0080
    179.00   -0.1608    0.0065
    180.00   -0.0664    0.0060
